population,area,gdp,administrative_level,airport,train_station,climate_type,travel resort,city
458.68 万（2024年末常住人口）,6591 km²,7809.64 亿元（2024年）,地级市,扬州泰州国际机场、高邮机场,扬州站、扬州东站、高邮站、高邮北站、宝应站、江都站,亚热带季风性湿润气候向温带季风气候的过渡区,扬州市瘦西湖风景区、盂城驿、江苏省仪征市枣林湾生态园、大明寺、个园、何园、凤凰岛生态旅游区、东关街、史可法纪念馆（等）,扬州市
322.80 万（截至2024年末常住人口）,3840 km²,5540.01 亿元（2024年）,地级市,常州奔牛国际机场、镇江大路通用机场[131],镇江站、镇江南站、丹徒站、大港南站,亚热带季风气候,三山（金山、焦山、北固山）、南山、西津渡、茅山、宝华山、扬中园博园、圌山等,镇江市
447.40 万[91]（2024年末常住人口）,5787.98 km²,7020.95 亿元[91]（2024年）,地级市,扬州泰州国际机场[77]（非泰州市境内但由泰州市投资建设）,泰州站、姜堰站、泰州南站（在建）,亚热带季风气候,江苏姜堰溱湖国家湿地公园、凤城河风景区、梅兰芳公园、光孝寺,泰州市
498.00 万（截至2024年末常住人口）,8555 km²,4801.85 亿元（2024年）,地级市,,宿迁站、泗阳站、沭阳站、洋河站、泗洪站等,温带季风气候,洪泽湖湿地公园、三台山国家森林公园、皂河龙运城、项王故里、妈祖文化园、龙王庙行宫（等）,宿迁市
1262.4 万[166]（2024年末杭州常住人口）,16850 km²,21860 亿元[166]（2024年）,地级市[2],杭州萧山国际机场,杭州站、杭州东站、杭州南站、杭州西站等,亚热带季风气候,西湖、京杭大运河、浙江杭州西溪国家湿地公园、灵隐寺、六和塔、千岛湖风景区、良渚古城遗址,杭州市
977.7 万[223]（2024年末常住人口）,9816 km²（陆域面积）,18147.7 亿元[223]（2024年）,地级市,宁波栎社国际机场,宁波站、余姚北站、奉化站等,亚热带季风气候,天一阁、宁波市溪口－滕头旅游景区、四明山、宁波老外滩、东钱湖、天童寺、阿育王寺、保国寺,宁波市
985.2 万（截至2024年末常住人口）,12102.65 km²,9718.8 亿元（2024年）,地级市,温州龙湾国际机场,温州站、温州南站、温州北站、温州东站等[125],亚热带季风气候,雁荡山、楠溪江、百丈漈、南麂岛、江心屿、印象南塘,温州市
558.4 万（2023年末常住人口）,3915 km²,7569.53 亿元[112][127]（2024年）,地级市,嘉兴机场（建设中）,嘉兴站、嘉兴南站,亚热带季风气候,南湖、乌镇、西塘、钱江潮、南北湖、绮园,嘉兴市
346.5 万（2024年末常住人口）,5820 km²,4213.4 亿元（2024年）,地级市,,湖州站、德清站、长兴站、安吉站、湖州东站、湖州南浔站[8],亚热带季风气候,南浔古镇、太湖旅游度假区、小西街、衣裳街、莫干山、安吉云上草原、太湖龙之梦乐园,湖州市
542.9 万（2024年末常住人口）,8274.79 km²,8369 亿元（2024年）,地级市,仅25千米,绍兴站、绍兴北站、绍兴东站、皋埠站、诸暨站、上虞站、嵊州新昌站嵊州北站、新昌北站[70],亚热带季风气候,鉴湖、兰亭、沈园、禹陵、绍兴鲁迅故里,绍兴市
720.9 万（2024年末常住人口）,10942 km²,6925.52 亿元（2024年）,地级市,义乌机场,金华站、金华南站、义乌站、东阳北站、永康南站、横店站、武义北站等,亚热带季风气候,双龙洞、横店影视城、永康方岩、百杖潭、诸葛八卦村、俞源太极星象村、陈望道故居[102]、乐顺堂[103],金华市
229.9 万（2024年末常住人口）,8844 km²,2262.83 亿元（2024年）,地级市,衢州机场,衢州站，衢州西站（在建）,亚热带季风气候,江山江郎山，江山廿八都古镇，龙游石窟，烂柯山，药王山等,衢州市
117.6 万[108]（2024年末常住人口）,22200 km²（含海域面积）,2226.2 亿元[105]（2024年）,地级市,舟山普陀山国际机场,舟山站、金塘站、马岙站,亚热带季风气候,普陀山、朱家尖、桃花岛、东极岛、衢山岛、枸杞岛,舟山市
672.9 万（2024年末常住人口）,10050.43 km²[47],6656.40 亿元（2024年）,地级市,台州路桥机场,台州站、台州西站、温岭站、临海站、三门县站、天台山站[48],亚热带季风气候,天台山、神仙居、台州府城文化旅游区、长屿硐天,台州市
253.2 万[66]（截至2024年末常住人口）,17300 km²,2181.2 亿元[63]（2024年）,地级市,选址已经通过,丽水站、缙云站、青田站等,亚热带季风气候,仙都、万象山[55]、白云山、古堰画乡、九龙湿地、南明山、遂昌金矿国家矿山公园、石门洞、云和梯田景区,丽水市
1000.2 万[120]（2024年末常住人口）,11445 km²,13507.69 亿元[122]（2024年）,地级市,合肥新桥国际机场、肥东白龙机场,合肥站、合肥南站、合肥西站、合肥北城站等,亚热带季风气候,淮河路步行街、包公园、三河古镇、巢湖风景名胜区、紫蓬山、李鸿章故居、渡江战役纪念馆、骆岗公园,合肥市
379.7 万[193]（2024年常住人口）,6009.02 km²[23],5120.5 亿元[192]（2024年）,地级市[20],芜湖宣州机场[27],芜湖站、芜湖南站、芜湖北站、繁昌西站、湾沚南站、南陵站、无为站[28],亚热带湿润季风气候[25],芜湖方特旅游度假区[26]、红色山水涧风景区[26]、大浦乡村世界[26]、王稼祥纪念园[26]、鸠兹风景区[26]、赭山公园[26],芜湖市
326.2 万[73]（2024年末常住人口）,5951 km²,2313 亿元[71]（2024年）,地级市,蚌埠滕湖机场,蚌埠站、蚌埠南站,温带季风气候、亚热带季风气候,,蚌埠市
301.9 万[71]（2024年底常住人口）,5650 km²,1716.0 亿元[68]（2024年）,地级市,S1线寿县段项目开工,淮南站、淮南东站、淮南南站、凤台南站、寿县站,亚热带季风气候,八公山，上窑山，舜耕山，龙湖公园，茅仙洞，安丰塘，寿县古城,淮南市
220.1 万[82]（2024年末常住人口）,404913.15 公顷,2784.65 亿元[95]（2024年）,地级市,仅30千米,马鞍山站，马鞍山东站，当涂东站，含山南站，含山站[24]（等）,亚热带季风气候,褒禅山、采石矶、乌江镇、雨山湖、鸡笼山、濮塘自然风景区、太湖山国家森林公园（等）,马鞍山市
193.2 万[46]（2024年末常住人口）,2741 km²,1405.9 亿元[56]（2024年）,地级市,约90千米,淮北站、淮北北站、淮北西站、双堆集站,暖温带湿润季风气候,相山公园、南湖、龙脊山、临涣古镇、华家湖、双堆烈士陵园等,淮北市
130.2 万（2024年常住人口）,2991.87 km²,1325.5 亿元（2024年）,地级市,和,铜陵站、铜陵北站,北亚热带季风气候,天井湖、铜陵西湖城市湿地公园、铜陵市博物馆、铜官山1978文创园、凤凰山、犁桥水镇、永泉旅游度假区、铜陵淡水豚国家级自然保护区、大通古镇、浮山、旗山汉武文化生态园,铜陵市
409.8 万（截至2024年末常住人口）,13590 km²,3156 亿元（2024年）,地级市,安庆天柱山机场,安庆站、安庆西站,北亚热带湿润气候,菱湖风景区、独秀园、薛家岗遗址、六尺巷、孔雀东南飞文化园、迎江寺、振风塔、天柱山、鹞落坪,安庆市
131.7 万（2024年末常住人口）,9678 km²,1134.0 亿元（2024年）,地级市,黄山屯溪国际机场,黄山北站、歙县北站、三阳站、黄山西站、黟县站、祁门站等,亚热带季风湿润性气候,黄山[91]、西递[92]、宏村[93]、齐云山[86]、呈坎[96]、屯溪老街[149]、徽州古城[99],黄山市
405.6 万[156]（2024年末常住人口）,13500 km²[35],4034.4 亿元[145]（2024年）,地级市[30],明光女山湖机场[95],滁州站、全椒站、滁州北站、定远站[91][115],北亚热带向南温带过渡性气候[31],醉翁亭[53]、琅琊山[1]、凤阳小岗村[52],滁州市
804.1 万（2024年常住人口）,10118 km²,3609.8 亿元[76]（2024年）,地级市,阜阳机场,阜阳站、阜阳西站、界首南站、阜南站、临泉站、太和北站、颍上站、太和东站,温带季风气候,管仲老街、八里河、颍州西湖、阜阳生态园、迪沟生态旅游风景区、殿顶子遗址,阜阳市
522.5 万（2024年末常住人口）,9939 km²,2457.3 亿元（2024年）,地级市,宿州机场（规划中）,宿州站、宿州东站、宿州西站,温带季风气候,皇藏峪、钟馗文化园、五柳风景名胜区、虞姬墓、涉故台、蕲县古城遗址、乐天园、闵子骞祠、黄河故道,宿州市
430.4 万（2024年末常住人口）,15451.2 km²,2307.5 亿元（2024年）,地级市,六安金安机场,六安站、金寨站、舒城站等,亚热带季风气候,白马尖、天堂寨、九公寨风景区、万佛山、万佛湖、横排头、皖西大裂谷、大别山、昭庆寺,六安市
486.1 万[76]（截至2024年末常住人口）,8522.58 km²,2521.6 亿元[73]（2024年）,地级市,亳州机场,亳州站、亳州南站、古城东站、芦庙站,温带季风性气候,花戏楼、华祖庵、天静宫、东太清宫、尉迟寺、曹操运兵道等,亳州市
132.4 万[54]（2024年常住人口）,8399 km²,1177.8 亿元[66]（2024年）,地级市,池州九华山机场,池州站、东至站、九华山站[2]（等）,亚热带季风气候,九华山、杏花村、升金湖、平天湖、怪潭、蓬莱仙洞、南溪古寨、秀山门博物馆、九子岩、东至九天仙寓风景名胜区、牯牛降风景区、醉山野（等）,池州市
249 万[40][61]（2024年常住人口）,12340 km²,2053.5 亿元[60]（2024年）,地级市,芜湖宣州机场、宁国青龙湾机场,宣城站、泾县站、旌德站、绩溪北站、广德南站、宁国站等,亚热带季风气候,敬亭山、江村古建筑群、龙川、鳄鱼湖、太极洞、皖南川藏线、谢朓楼、鳄鱼湖（等）,宣城市
850.1 万（2024年末常住人口）,11968.53 km²,14236.76 亿元[160]（2024年）,地级市,福州长乐国际机场,福州站、福州南站,亚热带海洋性季风气候,三坊七巷、鼓山、崇妙保圣坚牢塔、报恩定光多宝塔、福州西湖公园、鼓岭、永泰青云山风景名胜区、石竹山风景区,福州市
535 万[225]（2024年末常住人口）,1700.61 km²,8589.01 亿元[229]（2024年）,地级市,厦门高崎国际机场,厦门站、厦门北站,南亚热带海洋性季风气候,鼓浪屿、胡里山炮台、南普陀寺、曾厝垵、厦门园林植物园、厦门园林博览苑、同安影视城、天竺山森林公园,厦门市
317.9 万（2023年末常住人口）,4127.7 km²（陆域面积）,3442.74 亿元[176]（2024年）,地级市,工程前期工作持续推进,莆田站、仙游站、涵江站、莆田东站,亚热带季风气候,湄洲岛、南少林寺、九鲤湖、南山广化寺、妈祖庙、九龙谷、木兰陂,莆田市
242.9 万[69]（2023年末常住人口）,22965 km²[133],2922.94 亿元[175]（2024年）,地级市[76],三明沙县机场[26],三明站、三明北站、三元区站等[25][131],中亚热带气候[78],泰宁国家级风景名胜区[33]、仙人谷[34]、闽江源[35]、客家公祠[177],三明市
891.4 万[204]（截至2024年）,11295.57 km²[32]（截止2022年底）,13094.87 亿元[203]（2024年）,地级市[2],泉州晋江国际机场[6],泉州站、泉州东站、泉州南站、泉港站等[55],亚热带海洋性季风气候[2],开元寺[45]、府文庙[44]、天后宫[50]、清源山[49]、清水岩[48],泉州市
506.3 万[26]（截至2023年末常住人口）,12607 km²,6063.71 亿元[136]（2024年）,地级市,58.9千米,漳州站、角美站、漳浦站、云霄站、诏安站等[96],南亚热带海洋季风气候[20],南靖土楼[76]、云洞岩景区[66],漳州市
263.0 万[55]（截至2023年末常住人口）,26300 km²,2090.30 亿元[64]（2024年）,地级市,武夷山机场,南平市站、建瓯西站、建瓯东站、建瓯站、建阳站、武夷山站、延平站、延平东站、武夷山北站、延平西站,亚热带季风气候,武夷山、庵山、溪源庵、和平古镇、茫荡山、黄岗山,南平市
269.3 万[94]（2023年末常住人口）,19028 km²,3418.68 亿元[119]（2024年）,地级市,龙岩冠豸山机场,龙岩站,亚热带季风气候,永定客家土楼、古田会议旧址、冠豸山、龙硿洞、九鹏溪、武平千鹭湖、武平梁野山、长汀古城,龙岩市
315.7（2023年） 万[19]（2023年常住人口）,13452 km²[19]（陆地面积）,3901.99 亿元[176]（2024年）,地级市[13],福建水门机场[25],宁德站、古田北等[24],中亚热带海洋性季风气候[19],宁德世界地质公园、福鼎太姥山、霞浦滩涂等[19],宁德市
667.04 万[248]（2024年末全市常住人口）,7194.98 km²[54],7800.37 亿元[246]（2024年）,地级市[87],南昌昌北国际机场、南昌瑶湖机场[66][162],南昌站、南昌北站、南昌西站、南昌东站、南昌南站[5][89][163],亚热带季风气候[54],滕王阁[80]、南昌八一起义纪念馆[80]、绳金塔[76]、南昌汉代海昏侯国遗址公园[80]、南昌万寿宫历史文化街区[80],南昌市
161.80 万（2024年常住人口）,5256 km²,1179.30 亿元[103]（2024年）,地级市,景德镇罗家机场、景德镇浮梁机场,景德镇站、景德镇北站,亚热带季风性气候,高岭瑶里风景名胜区、古窑民俗博览区、浮梁古县衙、乐平戏台、洪岩仙境、御窑厂考古遗址公园、中国陶瓷博物馆、陶溪川文创街区、怪石林,景德镇市
179.70 万[52]（2024年常住人口）,3823.99 km²,1211.4 亿元[71]（2024年）,地级市,仅120千米,萍乡站、萍乡北站,亚热带季风气候,武功山、杨岐山、江西安源国家森林公园、安源路矿工人运动纪念馆、萍乡市荷花博览园景区,萍乡市
449.9 万[113]（2024年末常住人口）,19084.61 km²[1],4021.75 亿元[113]（2024年）,地级市,九江庐山机场,九江站、庐山站、九江西站、瑞昌西站、都昌站、湖口站等[34],亚热带季风气候,庐山、东林寺、石钟山、庐山西海、云居山、吴城镇、浔阳江景区、陈门五杰故里景区、白鹿洞书院,九江市
119.40 万[67]（2024年末常住人口）,3178 km²,1142.52 亿元[76]（2024年）,地级市,,新余站，新余北站,亚热带季风性气候,仙女湖、抱石公园、孔目江湿地公园、江西仰天岗国家森林公园[23]、蒙山、双林夏布文化旅游景区,新余市
115.09 万[55]（2023年常住人口）,3556.7 km²,1384.34 亿元[64]（2024年）,地级市,鹰潭通勤机场,鹰潭站、鹰潭北站,亚热带季风性湿润气候,龙虎山世界自然遗产地、嗣汉天师府、上清古镇、古越崖墓群等,鹰潭市
898.92 万[113]（2023年末常住人口）,39379.64 km²,4940.47 亿元[174]（2024年）,地级市,赣州黄金机场、赣州瑞金机场[175],赣州站、赣州西站、赣州北站、赣县北站、瑞金站、兴国站、于都站、于都北站、信丰西站、龙南东站、定南南站等,亚热带季风性湿润气候,通天岩风景区、郁孤台、赣州古城墙、赣州方特东方欲晓主题公园、江南宋城历史文化旅游区、瑞金共和国摇篮景区、三百山风景名胜区、关西新围、丫山、上堡梯田,赣州市
435.07 万[85]（2024年常住人口）,25283 km²,2917.3 亿元[85]（2024年）,地级市,井冈山机场,吉安站、吉安西站、泰和站、吉水西站等,亚热带季风湿润性气候,井冈山、武功山、羊狮慕、白鹭洲书院、吉州窑、青原山、渼陂等、庐陵文化生态园、天祥景区、钓源古村、中国进士文化园,吉安市
498.88 万（2024年底常住人口）,18700 km²[6],3711.05 亿元[100]（2024年）,地级市[21],宜春明月山机场[27],宜春站、宜春西站[28-29],亚热带湿润气候[2],明月山温泉风景名胜区[3]、三爪仑国家森林公园[3],宜春市
353.48 万（2024年常住人口）,18800 km²,2173.08 亿元[127]（2024年）,地级市,抚州机场（在建）,抚州站、抚州东站、抚州北站等,亚热带季风气候,文昌里、大觉山、流坑古村、黎川明清老街、中国莲花景区、抚州名人雕塑园、麻姑山、宜黄曹山景区、竹桥古村、金竹瀑布、临川金山寺,抚州市
635.1 万（2024年末常住人口）,22737 km²,3720.9 亿元（2024年）,地级市,上饶三清山机场,上饶站、婺源站、玉山站、弋阳站、鄱阳站、五府山站等,亚热带季风性湿润气候,三清山、篁岭、龟峰、灵山、望仙谷、鄱阳湖景区、鹅湖书院、葛仙山、婺女洲度假区,上饶市
951.5 万（2024年末常住人口）,10244.45 km²[76],13527.6 亿元[157]（2024年）,地级市[4],济南遥墙国际机场[41],济南站、济南西站、济南东站、大明湖站[7],暖温带大陆性季风气候[126],趵突泉[121]、大明湖[121]、千佛山[122]、超然楼[73],济南市
1044.25 万[310]（2024年末常住人口）,11293 km²,16719.46 亿元[301]（2024年）,地级市,青岛胶东国际机场,青岛站、青岛北站、青岛西站、红岛站、青岛机场站等,温带季风气候,崂山、五四广场、八大关、栈桥、青岛奥帆中心、金沙滩、大珠山,青岛市
467.4 万（2023年末常住人口）,5965 km²,4884.08 亿元[170]（2024年）,地级市[16],约70千米,淄博站，淄博北站，临淄北站，桓台站[157],温带季风气候,八大局[148]、聊斋城、海岱楼钟书阁、临淄齐国故城、淄博市陶瓷博物馆、周村古商城、原山森林公园、鲁山森林公园,淄博市
380.50 万（2024年常住人口）,4564 km²,2386.41 亿元（2024年）,地级市,枣庄翼云机场（建设中）,枣庄站、滕州东站（高铁站）、枣庄东站、枣庄西站、滕州站,暖温带季风型大陆性气候,台儿庄古城、微山湖红荷湿地、墨子纪念馆、鲁班纪念馆、抱犊崮,枣庄市
220.83 万（2024年常住人口）,8243 km²,4307.70 亿元（2024年）,地级市,东营胜利机场,东营站、东营南站,温带大陆性季风气候,黄河口生态旅游区、东营市历史博物馆、清风湖公园、龙悦湖,东营市
703.52 万（2024年末常住人口）,13930.1 km²,10782.83 亿元（2024年）,地级市,烟台蓬莱国际机场、栖霞杨础机场,烟台站、烟台南站、烟台西站、牟平站（烟台东站）等,暖温带季风气候（冬无严寒、夏无酷暑、雨量适中、空气湿润、气候温和）[136],蓬莱阁、八仙过海景区、南山旅游风景区（仅列5A级）、牟氏庄园[162],烟台市
931.99 万[148]（2023年末常住人口）,16167.23 km²,8203.2 亿元[113]（2024年）,地级市,潍坊南苑机场,潍坊站、潍坊北站等[11-12][47],温带季风气候,超然台、十笏园、杨家埠民间艺术大观园、中国宝石城、仰天山、驼山、偶园、莫言旧居、云门山、青云山、坊茨小镇[114],潍坊市
824.05 万（2023年末常住人口）,11000 km²,5867 亿元[111]（2024年）,地级市,济宁大安机场,济宁站、济宁北站、济宁东站、曲阜东站、曲阜南站、泗水南站、嘉祥北站、兖州站、邹城站、梁山站等,温带季风气候,三孔、微山湖、太白楼、京杭大运河、三孟,济宁市
529.15 万（2024年常住人口）,7762 km²,3622.1 亿元（2024年）,地级市,泰安仪阳通用机场（在建）,泰山站、泰安站、泰安东站等,温带季风气候,泰山、摩崖石刻、水浒影视城、岱庙、太阳部落、方特欢乐世界、天颐湖、泰安市徂徕山汶河景区、泰安老街、泰山西湖景区、戴村坝、水浒影视城、白佛山、东平湖,泰安市
291.46 万（2024年末常住人口）,5799.84 km²,3728.62 亿元（2024年）,地级市,威海国际机场,威海站、威海北站、文登东站、荣成站、乳山站,温带季风气候,刘公岛、成山头、国际海水浴场、赤山、银滩、华夏城、天鹅湖等,威海市
296.83 万[29]（2022年常住人口）,5374.90 km²,2556.89 亿元[70]（2024年）,地级市,日照山字河机场,日照站、日照西站、日照南站、岚山西站、五莲站[75]、莒县站[76],温带季风气候,万平口、东夷小镇、九仙山、五莲山、浮来山、天台山风景区[77]、龙门崮风景区[78],日照市
1099.31 万[200]（2022年年末常住人口）,17191.2 km²,6555.8 亿元[235]（2024年）,地级市,临沂启阳国际机场,临沂站、临沂北站、临沂东站、兰陵站等[226],温带季风气候,沂蒙山世界地质公园、王羲之故居、竹泉村、天马岛、汤头温泉,临沂市
557.49 万（2022年常住人口）,10356 km²,4047.73 亿元[106]（2024年）,地级市,,德州站、德州东站、陵城站、平原站、齐河站、平原东站、临邑站、禹城站、晏城站、禹城东站,温带季风气候,中国太阳谷、黄河故道森林公园、泉城欧乐堡梦幻世界、海岛金山寺,德州市
580.34 万（2024年末常住人口）,8628 km²,3167.96 亿元（2024年）,地级市,获批建设,聊城站、聊城北站、聊城西站、聊城东站,温带季风气候,东昌湖、光岳楼、山陕会馆、孔繁森同志纪念馆、景阳冈,聊城市
390.41 万（2023年常住人口）,9660 km²,3404.74 亿元[98]（2024年）,地级市,滨州大高机场,滨州站、邹平站、博兴站、阳信站等,温带季风气候,中国孙子兵法城、鹤伴山国家森林公园、魏氏庄园、魏集古村落,滨州市
863.55 万[52]（2023年常住人口）,12238.62 km²[3],4802.58 亿元[251]（2024年）,地级市[2],菏泽牡丹机场[24][40],菏泽站、菏泽东站[24],暖温带季风大陆性气候[82],曹州牡丹园、水浒好汉城、孙膑旅游城、曹州古城、牌坊古城、浮龙湖、东明黄河森林公园、中国牡丹园、金山、石头寨、三源寺、法源寺、百花园、古今园、文亭湖、冀鲁豫边区革命纪念馆、中华祖源景区[5][8][40][49][170],菏泽市
1308.6 万[405]（2024年末常住人口）,7567 km²[346]（主城区：1754.8km²）,14532.1 亿元[393]（2024年）,地级市,郑州新郑国际机场、郑州上街机场、登封少林机场,郑州站、郑州东站、郑州航空港站、郑州西站、郑州北站等,温带大陆性季风气候,郑州商代王城遗址、郑州二七罢工纪念塔和纪念堂、河南博物院、嵩山、少林寺、只有河南·戏剧幻城、龙湖、黄帝故里、河南省少林武术馆,郑州市
469.80 万（2024年末常住人口）,6239 km²[80],2761.10 亿元（2024年）,地级市,的一条高速便捷通道,开封站、开封北站、兰考站、兰考南站、运粮河站、宋城路站等,温带季风气候,清明上河园、龙亭、铁塔、大相国寺、开封府、包公祠、中国翰园、万岁山等,开封市
708.1 万[127]（2024年末常住人口）,15230 km²,5818.6 亿元[118]（2024年）,地级市,洛阳北郊机场,洛阳站、洛阳龙门站、洛阳东站等,温带季风气候,龙门石窟、白马寺、隋唐洛阳城、白云山、老君山、关林、龙潭大峡谷、中国国花园、王城公园、定鼎门,洛阳市
487.6 万（2024年常住人口）,7882 km²,2831.97 亿元（2024年）,地级市,平顶山鲁山机场,平顶山站、宝丰站、鲁山站、平顶山西站、郏县站、叶县站[6],温带大陆性季风气候,尧山-中原大佛景区、尧山地质公园等,平顶山市
539.4 万（2024年常住人口）,7413 km²[3],2672 亿元（2024年）,地级市[131],安阳红旗渠机场、安阳殷都机场、安阳永和机场[60][146],安阳站、安阳东站、安阳西站[54][147],温带大陆性季风气候[14],殷墟[95]、羑里城[95]、中国文字博物馆[95]、红旗渠、太行大峡谷、安阳高陵、马氏庄园、袁林、文峰塔、仓巷街、岳飞庙、道口古镇,安阳市
155.9 万（2024年末常住人口）,2182 km²[35],1094.39 亿元（2024年）,地级市,,鹤壁站、鹤壁东站、滑浚站,温带季风气候,,鹤壁市
611.3 万（2024年末常住人口）,8291 km²[29],3569.70 亿元（2024年）,地级市[29],及郑州航空港经济综合实验区车程50分钟,新乡站、新乡东站、新乡南站、新乡北站[86-87],暖温带大陆性季风气候[32],同盟古镇[31]、八里沟景区[3]、万仙山风景名胜区[79]、九莲山景区[134]、五龙山风景区[80],新乡市
349.6 万[106]（2024年末常住人口）,4071 km²,2369.2 亿元[95]（2024年）,地级市,、两小时高铁可达太原,焦作站、焦作西站[2],温带季风气候,云台山、神农山、青天河、陈家沟、嘉应观、圆融无碍禅寺、焦作影视城,焦作市
369.1 万[215]（2024年末常住人口）,4188 km²[1],2018.55 亿元[216]（2024年）,地级市[6],,濮阳东站、南乐站、濮阳站、台前站、濮阳西站、柴村站等[101-102][208],暖温带半湿润季风型大陆性气候[7],清丰县冀鲁豫军区纪念馆[168]、濮阳东北庄野生动物园[168]、濮阳东北庄杂技之乡[168],濮阳市
435.7 万（2024年末常住人口）,4979 km²,3441.1 亿元（2024年）,地级市,50千米,许昌站、许昌东站、许昌北站、禹州站、鄢陵站、长葛站、长葛北站,温带季风气候,曹丞相府、春秋楼、灞陵桥、花都温泉度假区、神垕古镇、胖东来,许昌市
234.3 万（2024年常住人口）,2617 km²,1869.9 亿元（2024年）,地级市,不足一小时车程,漯河站、漯河西站,暖湿性季风气候,许慎文化园，漯湾古镇，河上街古镇，神州鸟园，沙澧河风景区，小商桥，南街村，贾湖遗址、黄龙湿地公园,漯河市
200.7 万（2024年末常住人口）,9936 km²[85],1620.27 亿元（2023年）,地级市,,三门峡站、三门峡西站、三门峡南站,暖温带大陆性季风型半干旱气候,天鹅湖国家城市湿地公园、仰韶村文化遗址、虢国博物馆、函谷关,三门峡市
945.40 万[94]（2024年末常住人口）,26600 km²,4879.08 亿元[91]（2024年）,地级市,南阳姜营机场,南阳站、南阳东站、邓州东站、方城站[61],季风大陆湿润半湿润气候,丹江大观苑、卧龙岗、医圣祠、宝天曼、内乡县衙、西峡老界岭等,南阳市
762.8 万（2024年末常住人口）,10704 km²,3272.27 亿元（2024年）,地级市,已运营,商丘站、商丘南站、商丘东站,温带季风气候,燧皇陵、阙伯台、芒砀山、秣坡村、孔子还乡祠、木兰祠、商丘古城、应天书院,商丘市
604.80 万[58]（2023年末常住人口）,18916 km²[26],3073.36 亿元[63]（2024年）,地级市,信阳明港机场,信阳东站、明港东站、信阳站、罗山站、潢川站、固始站、息县站、淮滨站、光山站、商城站、新县站（等）,亚热带向暖温带过渡地区,鸡公山、南湾湖、灵山寺、金兰山、汤泉池、大苏山国家森林公园（等）、申伯楼[12]、申城老茶馆[69-70]、信阳文新茶村[71]、信阳龙袍茶庄园[74],信阳市
863.10 万（2024年末常住人口）,11961 km²[37],3635.62 亿元（2024年）,地级市,周口民用机场（建设中）[76],周口站、周口东站,温带季风气候,太昊陵、昆山女娲宫、老子故里、关帝庙,周口市
671.1 万（截至2024年底常住人口）,15083 km²[28],3342.70 亿元（2024年）,地级市,驻马店平舆机场（停工）[101],驻马店站、驻马店西站等[120],温带海洋性气候[28],嵖岈山、南海禅寺、竹沟革命纪念馆[39],驻马店市
72.3 万（2024年底常住人口）,1931 km²[5],789.56 亿元（2024年）,县级市、省直辖县级行政单位,已纳入全省航空规划,济源站,暖温带大陆性季风气候,小浪底风景区，王屋山景区，五龙口等,济源市
1380.91 万[245]（2024年末常住人口）,8569.15 km²,21106.23 亿元[234]（2024年）,地级市,武汉天河国际机场、武汉汉南通用机场,武汉站、武昌站、汉口站、武汉东站,亚热带季风气候,东湖风景区、黄鹤楼、木兰八景、湖北省博物馆、江汉路步行街、楚河汉街、欢乐谷、晴川阁、归元禅寺、古琴台、光谷步行街、武汉大学、汉口江滩、武汉海昌极地海洋公园,武汉市
