Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
3-4公共财政收支,,,
Public Finance Income and Expenditure,,,
,,,
单位：万元,,,
,,,
城市,City,一般公共 预算收入 General Public Budget Revenue,一般公共 预算支出 General Public Budget Expenditure
河北省,Hebei,,
  辛集市,  Xinji,301990,748471
  晋州市,  Jinzhou,147113,369083
  新乐市,  Xinle,144764,334495
  遵化市,  Zunhua,200122,562447
  迁安市,  Qian'an,668100,902748
  滦州市,  Luanzhou,278217,446487
  武安市,  Wu'an,503515,868803
  南宫市,  Nangong,65891,303773
  沙河市,  Shahe,144986,298596
  涿州市,  Zhuozhou,293325,714565
  定州市,  Dingzhou,335850,904872
  安国市,  Anguo,87591,251550
  高碑店市,  Gaobeidian,159292,474446
  平泉市,  Pingquan,76060,360318
  泊头市,  Botou,124515,353726
  任丘市,  Renqiu,473522,552346
  黄骅市,  Huanghua,720602,903841
  河间市,  Hejian,162933,460692
  霸州市,  Bazhou,241909,619796
  三河市,  Sanhe,548945,864820
  深州市,  Shenzhou,126611,374288
山西省,Shanxi,,
  古交市,  Gujiao,221295,325830
  高平市,  Gaoping,525088,797098
  怀仁市,  Huairen,225698,442334
  介休市,  Jiexiu,355762,569700
  永济市,  Yongji,54269,327469
  河津市,  Hejin,227066,420231
  原平市,  Yuanping,125746,403400
  侯马市,  Houma,60271,234941
  霍州市,  Huozhou,58958,232625
  孝义市,  Xiaoyi,456360,615852
  汾阳市,  Fenyang,324340,497159
内蒙古自治区,Inner Mongolia,,
  霍林郭勒市,  Huolinguole,172545,304716
  满洲里市,  Manzhouli,70753,407031
  牙克石市,  Yakeshi,38177,348588
  扎兰屯市,  Zhalantun,62421,501505
  额尔古纳市,  Eerguna,20900,188411
  根河市,  Genhe,8634,156422
  丰镇市,  Fengzhen,61093,337086
  乌兰浩特市,  Wulanhaote,110714,390390
  阿尔山市,  Aershan,9296,219200
  二连浩特市,  Erlianhaote,27921,214796
  锡林浩特市,  Xilinhaote,370937,508414
辽宁省,Liaoning,,
  新民市,  Xinmin,161587,524534
  瓦房店市,  Wafangdian,727122,1085261
  庄河市,  Zhuanghe,623526,872367
  海城市,  Haicheng,392382,751705
  东港市,  Donggang,191410,504395
  凤城市,  Fengcheng,125884,377337
  凌海市,  Linghai,139878,371674
  北镇市,  Beizhen,80893,336042
  盖州市,  Gaizhou,215647,512078
  大石桥市,  Dashiqiao,202212,416000
  灯塔市,  Dengta,114746,268498
  调兵山市,  Diaobingshan,90755,162600
  开原市,  Kaiyuan,60849,316363
  北票市,  Beipiao,109000,499654
  凌源市,  Lingyuan,115088,444477
  兴城市,  Xingcheng,100503,402943
吉林省,Jilin,,
  榆树市,  Yushu,89983,875439
  德惠市,  Dehui,80870,682661
  公主岭市,  Gongzhuling,166235,909066
  蛟河市,  Jiaohe,27577,354763
  桦甸市,  Huadian,57603,381752
  舒兰市,  Shulan,39485,530969
  磐石市,  Panshi,72154,397803
  双辽市,  Shuangliao,39365,463132
  梅河口市,  Meihekou,190513,663263
  集安市,  Ji'an,28294,342953
  临江市,  Linjiang,27012,226939
  扶余市,  Fuyu,75375,593329
  洮南市,  Taonan,33094,513364
  大安市,  Daan,66516,533733
  延吉市,  Yanji,301436,656159
  图们市,  Tumen,16758,173376
  敦化市,  Dunhua,94914,564159
  珲春市,  Hunchun,157895,418327
  龙井市,  Longjing,27092,260312
  和龙市,  Helong,28642,289197
黑龙江省,Heilongjiang,,
  尚志市,  Shangzhi,40030,490666
  五常市,  Wuchang,75757,643577
  讷河市,  Nehe,59071,593990
  虎林市,  Hulin,47420,379139
  密山市,  Mishan,50729,483264
  铁力市,  Tieli,67868,448338
  同江市,  Tongjiang,43663,394013
  富锦市,  Fujin,110471,671275
  抚远市,  Fuyuan,33147,282052
  绥芬河市,  Suifenhe,59274,243573
  海林市,  Hailin,66321,356562
  宁安市,  Ning'an,73177,380876
  穆棱市,  Muling,75363,335232
  东宁市,  Dongning,36790,334150
  北安市,  Bei'an,69380,491226
  五大连池市,  Wudalianchi,46606,434255
  嫩江市,  Nenjiang,125097,703892
  安达市,  Anda,94060,449323
  肇东市,  Zhaodong,128740,600624
  海伦市,  Hailun,56141,669895
  漠河市,  Mohe,43723,136363
江苏省,Jiangsu,,
  江阴市,  Jiangyin,2482900,2556200
  宜兴市,  Yixing,1408000,1783700
  新沂市,  Xinyi,489700,1130900
  邳州市,  Pizhou,463900,1294200
  溧阳市,  Liyang,1050300,1487800
  常熟市,  Changshu,2374000,2732000
  张家港市,  Zhangjiagang,2371000,2344357
  昆山市,  Kunshan,4566000,4118000
  太仓市,  Taicang,1894177,1837200
  启东市,  Qidong,750000,1290000
  如皋市,  Rugao,770000,1463000
  海安市,  Haian,710000,1397000
  东台市,  Dongtai,650059,1498954
  仪征市,  Yizheng,503300,862700
  高邮市,  Gaoyou,435600,1018100
  丹阳市,  Danyang,800500,1130800
  扬中市,  Yangzhong,400300,577400
  句容市,  Jurong,500500,830000
  兴化市,  Xinghua,509000,1297000
  靖江市,  Jingjiang,734642,943000
  泰兴市,  Taixing,972000,1371526
浙江省,Zhejiang,,
  建德市,  Jiande,475927,874210
  余姚市,  Yuyao,1328629,1554894
  慈溪市,  Cixi,2217068,2543453
  瑞安市,  Rui'an,775000,1486054
  乐清市,  Yueqing,970502,1286153
  龙港市,  Longgang,204704,392326
  海宁市,  Haining,1001296,1213597
  平湖市,  Pinghu,889788,1142195
  桐乡市,  Tongxiang,1070165,1429663
  诸暨市,  Zhuji,972033,1261958
  嵊州市,  Shengzhou,508121,925164
  兰溪市,  Lanxi,369098,749946
  义乌市,  Yiwu,1442803,1634354
  东阳市,  Dongyang,873399,1128523
  永康市,  Yongkang,715255,929344
  江山市,  Jiangshan,367779,903711
  温岭市,  Wenling,857728,1228471
  临海市,  Linhai,680471,1143538
  玉环市,  Yuhuan,557013,784590
  龙泉市,  Longquan,125200,641000
安徽省,Anhui,,
  巢湖市,  Chaohu,276749,674799
  无为市,  Wuwei,334055,684949
  桐城市,  Tongcheng,236630,640098
  潜山市,  Qianshan,120954,509018
  天长市,  Tianchang,504998,761583
  明光市,  Mingguang,246370,547662
  界首市,  Jieshou,214285,542932
  宁国市,  Ningguo,390333,557586
  广德市,  Guangde,400470,616403
福建省,Fujian,,
  福清市,  Fuqing,1312699,1527246
  永安市,  Yong'an,211037,395046
  石狮市,  Shishi,503421,613237
  晋江市,  Jinjiang,1529508,1850967
  南安市,  Nan'an,743131,1061717
  邵武市,  Shaowu,142911,371006
  武夷山市,  Wuyishan,109673,315704
  建瓯市,  Jian'ou,123044,382387
  漳平市,  Zhangping,111637,293683
  福安市,  Fu'an,444489,660587
  福鼎市,  Fuding,240715,499719
江西省,Jiangxi,,
  乐平市,  Leping,344873,764405
  瑞昌市,  Ruichang,301156,515350
  共青城市,  Gongqingcheng,240856,352592
  庐山市,  Lushan,166816,382326
  贵溪市,  Guixi,554096,915851
  瑞金市,  Ruijin,172731,617756
  龙南市,  Longnan,180866,432471
  井冈山市,  Jinggangshan,98217,307877
  丰城市,  Fengcheng,508260,1114568
  樟树市,  Zhangshu,364540,689114
  高安市,  Gaoan,319433,679737
  德兴市,  Dexing,278524,547701
山东省,Shandong,,
  胶州市,  Jiaozhou,1162666,1338166
  平度市,  Pingdu,656563,1230345
  莱西市,  Laixi,622577,962369
  滕州市,  Tengzhou,673840,1100050
  龙口市,  Longkou,1187830,1264335
  莱阳市,  Laiyang,254137,526218
  莱州市,  Laizhou,500113,621355
  招远市,  Zhaoyuan,502068,651103
  栖霞市,  Qixia,135013,391665
  海阳市,  Haiyang,312768,523368
  青州市,  Qingzhou,527113,642267
  诸城市,  Zhucheng,621238,800095
  寿光市,  Shouguang,1001131,1298609
  安丘市,  Anqiu,310705,577323
  高密市,  Gaomi,550162,637160
  昌邑市,  Changyi,385293,490264
  曲阜市,  Qufu,243106,451065
  邹城市,  Zoucheng,912807,913335
  新泰市,  Xintai,355117,723674
  肥城市,  Feicheng,511117,711978
  荣成市,  Rongcheng,560015,1252525
  乳山市,  Rushan,221971,396247
  乐陵市,  Laoling,159432,436398
  禹城市,  Yucheng,248923,454699
  临清市,  Linqing,213142,447992
  邹平市,  Zouping,792166,1357605
河南省,Henan,,
  巩义市,  Gongyi,562252,902279
  荥阳市,  Xingyang,503425,666088
  新密市,  Xinmi,409025,569191
  新郑市,  Xinzheng,731572,907309
  登封市,  Dengfeng,310655,491594
  舞钢市,  Wugang,158600,260828
  汝州市,  Ruzhou,314049,638182
  林州市,  Linzhou,500202,722659
  卫辉市,  Weihui,154876,305964
  辉县市,  Huixian,306477,540330
  长垣市,  Changyuan,533232,778893
  沁阳市,  Qinyang,166090,329091
  孟州市,  Mengzhou,150488,273757
  禹州市,  Yuzhou,335669,595998
  长葛市,  Changge,399610,513414
  义马市,  Yima,160522,254412
  灵宝市,  Lingbao,263850,616413
  邓州市,  Dengzhou,251232,800868
  永城市,  Yongcheng,540418,721743
  项城市,  Xiangcheng,207884,620428
  济源市,  Jiyuan,600219,755381
湖北省,Hubei,,
  大冶市,  Daye,600300,779753
  丹江口市,  Danjiangkou,186283,600234
  宜都市,  Yidu,300351,574901
  当阳市,  Dangyang,170340,524886
  枝江市,  Zhijiang,270191,515957
  老河口市,  Laohekou,161433,555710
  枣阳市,  Zaoyang,293427,775000
  宜城市,  Yicheng,161344,573036
  钟祥市,  Zhongxiang,215315,713910
  京山市,  Jingshan,190352,592927
  应城市,  Yingcheng,193436,517423
  安陆市,  Anlu,145381,438598
  汉川市,  Hanchuan,322058,718401
  石首市,  Shishou,88906,443640
  洪湖市,  Honghu,121377,588714
  松滋市,  Songzi,196435,632231
  监利市,  Jianli,118166,765627
  麻城市,  Macheng,228731,822092
  武穴市,  Wuxue,219048,590440
  赤壁市,  Chibi,235105,514479
  广水市,  Guangshui,164058,654559
  恩施市,  Enshi,245233,922900
  利川市,  Lichuan,150126,722331
  仙桃市,  Xiantao,380962,1047686
  潜江市,  Qianjiang,331100,890900
  天门市,  Tianmen,251155,1012568
湖南省,Hunan,,
  浏阳市,  Liuyang,1057758,1795054
  宁乡市,  Ningxiang,833553,1357386
  醴陵市,  Liling,327102,859973
  湘乡市,  Xiangxiang,163537,520377
  韶山市,  Shaoshan,73977,165624
  耒阳市,  Leiyang,190985,747123
  常宁市,  Changning,166465,588685
  武冈市,  Wugang,105031,598565
  邵东市,  Shaodong,251471,816915
  汨罗市,  Miluo,174984,665912
  临湘市,  Linxiang,103413,452538
  津市市,  Jinshi,104059,156146
  沅江市,  Yuanjiang,149215,556534
  资兴市,  Zixing,235852,465930
  祁阳市,  Qiyang,207041,696609
  洪江市,  Hongjiang,113180,505044
  冷水江市,  Lengshuijiang,86530,314830
  涟源市,  Lianyuan,89871,642669
  吉首市,  Jishou,143696,436625
广东省,Guangdong,,
  乐昌市,  Lechang,98026,391331
  南雄市,  Nanxiong,66864,414807
  台山市,  Taishan,384046,839584
  开平市,  Kaiping,310319,571388
  鹤山市,  Heshan,376968,481153
  恩平市,  Enping,139726,411161
  廉江市,  Lianjiang,177870,915440
  雷州市,  Leizhou,116859,788726
  吴川市,  Wuchuan,95963,513641
  高州市,  Gaozhou,184866,959050
  化州市,  Huazhou,171172,850771
  信宜市,  Xinyi,131418,810479
  四会市,  Sihui,486300,1053400
  兴宁市,  Xingning,102917,718854
  陆丰市,  Lufeng,135727,928650
  阳春市,  Yangchun,129145,712564
  英德市,  Yingde,310815,839869
  连州市,  Lianzhou,76732,391338
  普宁市,  Puning,228149,1051499
  罗定市,  Luoding,107119,667686
广西壮族自治区,Guangxi,,
  横州市,  Hengzhou,103686,565242
  荔浦市,  Lipu,52702,261768
  岑溪市,  Cenxi,80789,429997
  东兴市,  Dongxing,38534,257197
  桂平市,  Guiping,146002,888052
  北流市,  Beiliu,198872,641193
  靖西市,  Jingxi,136625,681479
  平果市,  Pingguo,224325,440988
  合山市,  Heshan,23295,134227
  凭祥市,  Pingxiang,47669,217974
海南省,Hainan,,
  五指山市,  Wuzhishan,24155,281993
  琼海市,  Qionghai,135388,595617
  文昌市,  Wenchang,165385,783836
  万宁市,  Wanning,193801,623571
  东方市,  Dongfang,103844,513742
四川省,Sichuan,,
  都江堰市,  Dujiangyan,403100,623911
  彭州市,  Pengzhou,419625,673194
  邛崃市,  Qionglai,365857,628166
  崇州市,  Chongzhou,328631,594461
  简阳市,  Jianyang,520304,1343606
  广汉市,  Guanghan,325705,519460
  什邡市,  Shifang,279812,446843
  绵竹市,  Mianzhu,330184,538138
  江油市,  Jiangyou,360736,624724
  射洪市,  Shehong,330338,652015
  隆昌市,  Longchang,120246,422727
  峨眉山市,  Emeishan,231648,396500
  阆中市,  Langzhong,105509,527354
  华蓥市,  Huaying,123928,290144
  万源市,  Wanyuan,84123,432754
  马尔康市,  Maerkang,173411,250775
  康定市,  Kangding,82588,280600
  西昌市,  Xichang,651215,890222
  会理市,  Huili,132021,395552
贵州省,Guizhou,,
  清镇市,  Qingzhen,198575,439146
  盘州市,  Panzhou,463103,1143887
  赤水市,  Chishui,42759,282803
  仁怀市,  Renhuai,1151700,1300223
  黔西市,  Qianxi,128603,524564
  兴义市,  Xingyi,349154,825079
  兴仁市,  Xingren,112915,384655
  凯里市,  Kaili,200494,535483
  都匀市,  Duyun,172792,416108
  福泉市,  Fuquan,161885,381731
云南省,Yunnan,,
  安宁市,  Anning,471646,580221
  宣威市,  Xuanwei,165254,927315
  澄江市,  Chengjiang,58161,212395
  腾冲市,  Tengchong,172813,604198
  水富市,  Shuifu,40425,149536
  楚雄市,  Chuxiong,334145,561397
  禄丰市,  Lufeng,77332,283520
  个旧市,  Gejiu,129443,353966
  开远市,  Kaiyuan,141676,352195
  蒙自市,  Mengzi,118021,362187
  弥勒市,  Mile,166633,413133
  文山市,  Wenshan,217828,514180
  景洪市,  Jinghong,146567,550812
  大理市,  Dali,306929,587926
  瑞丽市,  Ruili,78008,301099
  芒市,  Mangshi,100829,333988
  泸水市,  Lushui,31233,336752
  香格里拉市,  Shangri-la,88626,470606
西藏自治区,Xizang,,
 米林市,Milin,20365,209562
  错那市,Cuona,6059,209599
陕西省,Shaanxi,,
  兴平市,  Xingping,48355,384000
  彬州市,  Binzhou,172869,430716
  韩城市,  Hancheng,209941,570631
  华阴市,  Huayin,29208,213459
  子长市,  Zichang,148886,356468
  神木市,  Shenmu,1657250,1806547
  旬阳市,  Xunyang,35894,434189
甘肃省,Gansu,,
  华亭市,  Huating,83712,238022
  玉门市,  Yumen,75707,275050
  敦煌市,  Dunhuang,63214,288447
  临夏市,  Linxia,61074,315846
  合作市,  Hezuo,29974,240344
青海省,Qinghai,,
  同仁市,  Tongren,16000,308900
  玉树市,  Yushu,13278,305951
  格尔木市,  Golmud,256455,587302
  德令哈市,  Delingha,50675,225460
  茫崖市,  Mangya,48698,127966
宁夏回族自治区,Ningxia,,
  灵武市,  Lingwu,505241,803932
  青铜峡市,  Qingtongxia,83534,407448
新疆维吾尔自治区,Xinjiang,,
  昌吉市,  Changji,416210,740024
  阜康市,  Fukang,197504,408104
  博乐市,  Bole,185685,507697
  阿拉山口市,  Alashankou,116667,248035
  库尔勒市,  Korla,325021,655128
  阿克苏市,  Akesu,310203,795200
  库车市,  Kuche,500300,821600
  阿图什市,  Artux,55024,528853
  喀什市,  Kashi,240114,851383
  和田市,  Hetian,140800,448931
  伊宁市,  Yining,302820,692953
  奎屯市,  Kuitun,186444,433444
  霍尔果斯市,  Horgos,450342,585185
  塔城市,  Tacheng,52663,248254
  乌苏市,  Wusu,139154,570600
  沙湾市,  Shawan,112506,454309
  阿勒泰市,  Aletai,61660,416996
  石河子市,  Shihezi,698773,1327333
  阿拉尔市,  Alar,199692,1775065
  图木舒克市,  Tumushuke,122874,1554325
  五家渠市,  Wujiaqu,298534,670704
  北屯市,  Beitun,45849,505933
  铁门关市,  Tiemenguan,75897,1028640
  双河市,  Shuanghe,39872,522374
  可克达拉市,  Cocodala,108223,557299
  昆玉市,  Kunyu,29344,579787
  胡杨河市,  Huyanghe,15840.3,33337
  新星市,  Xinxing,102190,331195
  白杨市,Baiyang,10874,63664
